Variables,Coef,AbsCoef
NOMBRE_DEMANDES_CLIENTS_3_MOIS_AUPARAVANT,-0.048819114401179864,0.048819114401179864
CREDIT_INCOME_PERCENT,-0.008263786732740964,0.008263786732740964
ANNUITY_INCOME_PERCENT,0.17202717130937412,0.17202717130937412
CREDIT_TERM,-0.256067742360548,0.256067742360548
DAYS_EMPLOYED_PERCENT,0.06594986557864269,0.06594986557864269
CREDIT_TO_GOODS_RATIO,0.10711904872622262,0.10711904872622262
INCOME_TO_EMPLOYED_RATIO,-0.01068667504337166,0.01068667504337166
INCOME_TO_BIRTH_RATIO,-0.3997861446818287,0.3997861446818287
ID_TO_BIRTH_RATIO,-0.060883595462629135,0.060883595462629135
PHONE_TO_BIRTH_RATIO,0.1165243696194566,0.1165243696194566
EXT_SOURCES_MIN,0.11257945455415105,0.11257945455415105
EXT_SOURCES_MAX,-0.2012160134918137,0.2012160134918137
EXT_SOURCES_NANMEDIAN,-0.061591564185874116,0.061591564185874116
EXT_SOURCES_VAR,0.19585110212658427,0.19585110212658427
DUREE_DU_CREDIT,-0.2080102858271722,0.2080102858271722
AVERAGE_LOAN_TYPE,0.036770130974511483,0.036770130974511483
ACTIVE_LOANS_PERCENTAGE,0.0036574807731722574,0.0036574807731722574
CREDIT_ENDDATE_PERCENTAGE,0.022489812155778003,0.022489812155778003
AVG_ENDDATE_FUTURE,-0.010017749572369944,0.010017749572369944
DEBT_CREDIT_RATIO,0.18623240964667961,0.18623240964667961
OVERDUE_DEBT_RATIO,-0.0038672653935202103,0.0038672653935202103
AVG_CREDITDAYS_PROLONGED,0.002168464085823133,0.002168464085823133
LN DES REVENUS CLIENT,0.0882602906016311,0.0882602906016311
